代码,现价,涨跌幅,涨停,成交额,换手率,振幅,最高,最低,今开,昨收,量比,近5日涨幅,近5日最高,近20日最高,近10日最高,近150日最高,涨停价,近10日涨停,前日涨停,首板涨停,连板天数,一字板涨停
002553,19.68,5.98,0,464206452.00000006,0.0,10.99,20.4,18.36,18.48,18.57,1.0,9.33,19.24,22.24,20.06,30.9,20.43,0,0,0,0,0
002597,19.09,-4.26,0,161211325.00000003,0.0,6.22,20.25,19.01,20.25,19.94,1.0,-4.5,20.75,24.74,22.25,29.03,21.93,0,0,0,0,0
002632,9.99,-1.96,0,113319551.66666666,0.0,3.14,10.19,9.87,10.11,10.19,1.0,-2.92,10.77,11.87,11.24,16.39,11.21,0,0,0,0,0
002601,14.99,1.15,0,615993000.0,0.0,5.33,15.4,14.61,14.67,14.82,1.0,4.46,14.86,18.19,15.38,23.79,16.3,0,0,0,0,0
002636,77.42,10.0,1,2936645100.0,0.0,4.21,77.42,74.46,76.0,70.38,1.0,49.66,70.38,70.38,70.38,70.38,77.42,1,1,0,3,0
002652,4.71,-2.08,0,89178005.0,0.0,4.99,4.8,4.56,4.74,4.81,1.0,-9.07,5.32,6.71,6.07,6.77,5.29,0,0,0,0,0
002647,12.32,-0.56,0,244837271.6666667,0.0,3.15,12.58,12.19,12.39,12.39,1.0,-4.86,13.2,13.4,13.2,14.0,13.63,1,0,0,0,0
002698,12.16,-2.88,0,115786548.0,0.0,4.07,12.61,12.1,12.5,12.52,1.0,-1.54,12.8,15.15,13.87,18.97,13.77,0,0,0,0,0
002685,6.74,-2.46,0,184634870.00000003,0.0,5.35,7.04,6.67,6.84,6.91,1.0,-6.26,7.66,9.78,8.74,9.98,7.6,0,0,0,0,0
002709,46.9,-2.23,0,2843193275.3333335,0.0,3.52,48.19,46.5,47.39,47.97,1.0,-8.58,52.19,60.4,55.17,64.98,52.77,0,0,0,0,0
002681,5.04,-3.08,0,268533776.0,0.0,6.54,5.29,4.95,5.15,5.2,1.0,0.6,5.59,5.96,5.89,7.68,5.72,0,0,0,0,0
